Account,Opportunity_ID,Sales_Agent,Deal_Stage,Product,Created_Date,Close_Date,Close_Value
,VYPYVO8V,Vicki Laflamme,In Progress,GTX Basic,1/24/17,,
Opentech,3LJAJVHR,Cassey Cress,Lost,GTXPro,1/25/17,5/29/17,0
Zathunicon,NN6CSUWT,Daniell Hammack,Won,GTX Plus Basic,1/25/17,3/21/17,1065
Lexiqvolax,X69POZIN,Kary Hendrixson,Won,GTX Basic,1/25/17,5/6/17,481
J-Texon,4FAEDB16,Markita Hansen,Lost,GTX Basic,1/25/17,5/22/17,0
Dalttechnology,CPGCT81C,Maureen Marcano,Won,GTX Basic,1/25/17,3/6/17,499
Acme Corporation,TK9T01QM,Reed Clapper,Lost,GTXPro,1/25/17,5/7/17,0
Bioplex,P13DDOTM,Rosie Papadopoulos,Won,MG Special,1/25/17,3/8/17,59
Hottechi,1PN7TVPX,Vicki Laflamme,Lost,MG Special,1/25/17,5/1/17,0
Initech,9ZKORPL2,Violet Mclelland,Won,MG Special,1/25/17,5/9/17,45
,1D54L027,Wilburn Farren,In Progress,MG Advanced,1/25/17,,
Sonron,1ZCOKNNI,Zane Levy,Won,GTXPro,1/25/17,5/14/17,5743
Vehement Capital Partners,BVYMJ6TD,Cassey Cress,Won,GTX Plus Pro,1/26/17,5/13/17,6117
Domzoom,W5ADQ9SH,Darcel Schlecht,Lost,GTXPro,1/26/17,5/26/17,0
The New York Inquirer,VXX8GJGY,Donn Cantrell,Won,GTX Plus Basic,1/26/17,3/19/17,1158
Kinnamplus,ES9L0DXE,Garret Kinder,Won,MG Special,1/26/17,5/22/17,59
Dalttechnology,AANB25RH,Kami Bicknell,Lost,GTX Plus Basic,1/26/17,5/24/17,0
Xx-holding,36PTGLTW,Maureen Marcano,Won,MG Advanced,1/26/17,3/24/17,3106
Newex,6WTNSL1T,Rosalina Dieter,Won,MG Advanced,1/26/17,3/19/17,2982
Hottechi,PV1DISEC,Zane Levy,Won,GTX Plus Pro,1/26/17,3/16/17,6101
Treequote,S6BG03TB,Anna Snelling,Won,GTX Plus Pro,1/27/17,5/8/17,5883
Xx-zobam,2YOW2BI0,Corliss Cosme,Won,GTX Plus Pro,1/27/17,5/22/17,5051
Statholdings,IQ9KYZCG,Darcel Schlecht,Won,GTX Plus Basic,1/27/17,5/11/17,1155
Bluth Company,AWDOKG69,Garret Kinder,Lost,GTX Basic,1/27/17,5/10/17,0
Cheers,C4AFMVFM,James Ascencio,Won,GTX Plus Pro,1/27/17,3/6/17,5616
Golddex,WK6ERCGR,James Ascencio,Won,GTX Plus Pro,1/27/17,6/6/17,5116
Condax,64DJ954O,Kary Hendrixson,Won,GTX Plus Basic,1/27/17,3/30/17,1136
Finhigh,84V18DBW,Anna Snelling,Won,GTX Plus Basic,1/28/17,6/1/17,1216
Hottechi,WFY0S4WW,Anna Snelling,Won,GTX Plus Basic,1/28/17,5/2/17,1089
Condax,HA1KXAIS,Cassey Cress,Won,MG Advanced,1/28/17,6/4/17,3908
Toughzap,CENVLTFH,Corliss Cosme,In Progress,GTX Plus Basic,1/28/17,,
Dontechi,EAYD98X2,Darcel Schlecht,Lost,GTXPro,1/28/17,5/27/17,0
Finhigh,YR4W59KS,Darcel Schlecht,Lost,GTXPro,1/28/17,5/18/17,0
Streethex,SNFW1FD7,Darcel Schlecht,Won,MG Advanced,1/28/17,5/7/17,3369
Blackzim,4NGSQODD,James Ascencio,In Progress,GTXPro,1/28/17,,
J-Texon,2EOF1QCY,James Ascencio,Won,GTX Plus Pro,1/28/17,5/20/17,5259
,5BE27MLY,Maureen Marcano,In Progress,GTXPro,1/28/17,,
Y-corporation,O5O4ZAAC,Maureen Marcano,Lost,GTX Plus Basic,1/28/17,5/8/17,0
Bubba Gump,YBAKNQ8Z,Reed Clapper,Lost,MG Advanced,1/28/17,3/30/17,0
Konmatfix,N5UIZYIV,Zane Levy,In Progress,MG Special,1/28/17,,
Condax,QY6HCHDH,Anna Snelling,Won,MG Special,1/29/17,5/25/17,52
Acme Corporation,CZ3XOD03,Boris Faz,Won,GTX Plus Pro,1/29/17,5/11/17,5772
Umbrella Corporation,LQ44KCMI,Cassey Cress,Lost,GTXPro,1/29/17,3/13/17,0
Domzoom,WVJBVA61,Cecily Lampkin,Won,MG Advanced,1/29/17,3/21/17,3496
Finjob,MV9AO6WU,Elease Gluck,Won,MG Advanced,1/29/17,3/12/17,3602
Yearin,VS2G74XQ,Garret Kinder,Won,MG Special,1/29/17,3/9/17,57
Funholding,Q37IWCG1,Gladys Colclough,Won,MG Special,1/29/17,5/11/17,51
Sonron,CUR03RXO,Hayden Neloms,Won,MG Advanced,1/29/17,6/14/17,3689
Xx-holding,81APSLDP,James Ascencio,Won,GTX Plus Basic,1/29/17,5/3/17,1170
Rundofase,RBXWRHBJ,Jonathan Berthelot,Lost,GTX Basic,1/29/17,3/6/17,0
Rangreen,G2GU9DYX,Jonathan Berthelot,Won,GTXPro,1/29/17,5/6/17,4736
,KBR253C0,Kami Bicknell,In Progress,MG Advanced,1/29/17,,
,379DUF2N,Markita Hansen,In Progress,GTX Basic,1/29/17,,
,67IKZGGJ,Maureen Marcano,In Progress,GTX Plus Basic,1/29/17,,
Genco Pura Olive Oil Company,05DTWSVC,Niesha Huffines,Lost,MG Special,1/29/17,5/5/17,0
Zumgoity,2YQHHWJ3,Versie Hillebrand,Lost,MG Special,1/29/17,5/22/17,0
Hatfan,ZW58VIDI,Vicki Laflamme,Won,MG Special,1/29/17,5/25/17,64
J-Texon,Q7IIF1IP,Vicki Laflamme,Won,MG Special,1/29/17,6/5/17,55
Goodsilron,AALARPLH,Vicki Laflamme,Won,MG Advanced,1/29/17,3/13/17,2970
,8YIANRVX,Zane Levy,In Progress,GTXPro,1/29/17,,
Scottech,5FFY13G5,Cecily Lampkin,Lost,MG Special,1/30/17,5/19/17,0
Bubba Gump,01X8H9SO,Corliss Cosme,Won,GTXPro,1/30/17,5/13/17,5035
Domzoom,VLADQZ43,Darcel Schlecht,Lost,GTXPro,1/30/17,5/31/17,0
Funholding,N9VYMV3W,Darcel Schlecht,Won,GTXPro,1/30/17,3/10/17,4774
,A7SA2L21,Elease Gluck,In Progress,GTK 500,1/30/17,,
Kan-code,2FTB6A7I,James Ascencio,Won,GTX Plus Pro,1/30/17,5/16/17,5390
Codehow,7V9A9TXZ,Marty Freudenburg,Won,GTX Plus Basic,1/30/17,6/6/17,1190
Betatech,HWDRCUYU,Moses Frase,Won,GTX Plus Pro,1/30/17,5/14/17,5755
Scotfind,GFV4W89I,Rosalina Dieter,Won,GTXPro,1/30/17,6/13/17,4933
Ron-tech,7A4AC5BC,Versie Hillebrand,Won,MG Advanced,1/30/17,6/4/17,3642
Blackzim,3B6HWK65,Vicki Laflamme,Lost,MG Special,1/30/17,5/7/17,0
Kan-code,A3BK99P6,Cassey Cress,Won,MG Advanced,1/31/17,3/17/17,2923
,9W7PFSNX,Corliss Cosme,In Progress,GTX Basic,1/31/17,,
Zathunicon,XYLNH45V,Daniell Hammack,In Progress,GTX Plus Basic,1/31/17,,
,GVBWTDI3,Daniell Hammack,In Progress,GTX Plus Basic,1/31/17,,
Zumgoity,NY21X16G,Darcel Schlecht,Won,GTXPro,1/31/17,3/10/17,5035
Zoomit,O5BC64NW,Maureen Marcano,Lost,GTXPro,1/31/17,5/26/17,0
dambase,4DW2FDX4,Versie Hillebrand,Won,MG Special,1/31/17,5/20/17,54
Konmatfix,A66X4Q2J,Versie Hillebrand,Won,MG Special,1/31/17,5/1/17,54
,VFEV5XBS,Violet Mclelland,In Progress,GTX Plus Basic,1/31/17,,
Initech,IT9YW5RP,Wilburn Farren,Won,GTX Basic,1/31/17,5/26/17,592
Toughzap,7IZ2GMYK,Darcel Schlecht,Won,GTX Basic,2/1/17,5/16/17,640
Dontechi,TTY0X4TG,Darcel Schlecht,Won,GTXPro,2/1/17,5/5/17,5127
Betatech,L8D22SSW,Darcel Schlecht,Won,MG Advanced,2/1/17,6/17/17,3822
Dontechi,ZDDZ64A2,Gladys Colclough,Lost,MG Advanced,2/1/17,6/17/17,0
Blackzim,RDJFZGM9,Kami Bicknell,Lost,MG Special,2/1/17,6/13/17,0
Gogozoom,4563ENEB,Lajuana Vencill,Won,GTX Basic,2/1/17,5/2/17,574
Codehow,4WP0VJAS,Lajuana Vencill,Won,MG Advanced,2/1/17,6/18/17,2525
Groovestreet,60UOBOEM,Rosalina Dieter,Won,GTK 500,2/1/17,6/7/17,30288
Goodsilron,AJZB6F22,Vicki Laflamme,Lost,GTX Plus Pro,2/1/17,5/18/17,0
Scotfind,W4K39GNG,Zane Levy,Lost,GTX Basic,2/1/17,3/29/17,0
,VN8LKQN3,Boris Faz,In Progress,GTX Plus Basic,2/2/17,,
Cheers,IXOHJYRM,Elease Gluck,Lost,GTK 500,2/2/17,5/9/17,0
Kan-code,RMNHSNW9,Elease Gluck,Lost,MG Special,2/2/17,5/1/17,0
Inity,QPFNQYMV,Gladys Colclough,Won,MG Advanced,2/2/17,5/14/17,3581
Warephase,D77SFTS4,Jonathan Berthelot,Lost,GTX Plus Basic,2/2/17,3/12/17,0
,ZHY9C8OO,Kami Bicknell,In Progress,GTX Plus Basic,2/2/17,,
Conecom,WRBWZRFD,Niesha Huffines,Lost,GTXPro,2/2/17,5/5/17,0
Finhigh,031BBF1I,Versie Hillebrand,Won,MG Special,2/2/17,3/30/17,54
Condax,H2MC2E7K,Vicki Laflamme,In Progress,GTX Plus Basic,2/2/17,,
Konex,O11S2R63,Boris Faz,Won,GTX Plus Basic,2/3/17,6/3/17,1121
Silis,G13DD850,Cassey Cress,Won,GTX Basic,2/3/17,6/4/17,477
Condax,WZU2OHYU,Corliss Cosme,Won,GTX Basic,2/3/17,5/5/17,515
Ganjaflex,HVODWXRO,Daniell Hammack,Lost,MG Special,2/3/17,5/1/17,0
Umbrella Corporation,N3JIVUNY,Donn Cantrell,Lost,MG Advanced,2/3/17,5/11/17,0
Goodsilron,RGCH6CUF,Hayden Neloms,Won,GTX Plus Basic,2/3/17,6/20/17,975
Sunnamplex,JX7WZ9UP,Hayden Neloms,Won,MG Advanced,2/3/17,5/1/17,3376
Fasehatice,FDCEBWRI,James Ascencio,Won,GTX Basic,2/3/17,3/12/17,458
Globex Corporation,ZL6TJDPG,Jonathan Berthelot,Lost,GTX Basic,2/3/17,5/16/17,0
Golddex,DWBSHB8M,Kami Bicknell,Lost,GTX Basic,2/3/17,5/23/17,0
Golddex,0AJ6LTZ0,Kami Bicknell,Won,GTX Basic,2/3/17,3/14/17,622
Lexiqvolax,SVMB8M7E,Kami Bicknell,Won,GTX Basic,2/3/17,6/9/17,441
Konex,6AWEAWCM,Kary Hendrixson,Lost,GTXPro,2/3/17,5/15/17,0
Ron-tech,4Q4NBPD6,Marty Freudenburg,Won,GTX Basic,2/3/17,5/21/17,538
Goodsilron,K8VSDOP8,Maureen Marcano,Won,GTX Plus Pro,2/3/17,3/29/17,4667
Codehow,YNP9PI1X,Niesha Huffines,Won,GTX Plus Basic,2/3/17,6/15/17,1018
Bluth Company,3XVY4LEU,Reed Clapper,Won,GTXPro,2/3/17,5/9/17,4671
,OCGXWE8H,Vicki Laflamme,In Progress,MG Special,2/3/17,,
Bubba Gump,8K1OGB0R,Violet Mclelland,Won,GTXPro,2/3/17,5/16/17,4634
J-Texon,RTKUPEX7,Zane Levy,Lost,GTX Plus Basic,2/3/17,6/10/17,0
Warephase,QQDO45YR,Cecily Lampkin,Won,MG Advanced,2/4/17,5/9/17,3470
Dontechi,USVLKDF4,Corliss Cosme,In Progress,GTX Basic,2/4/17,,
Silis,HT25XIAV,Daniell Hammack,Lost,GTX Plus Basic,2/4/17,5/18/17,0
Acme Corporation,88KUDE6J,Donn Cantrell,Won,GTX Plus Pro,2/4/17,5/30/17,5366
Rundofase,AOOD3MWW,Gladys Colclough,Lost,GTX Plus Basic,2/4/17,5/26/17,0
Cheers,JCPQZ2SN,Hayden Neloms,In Progress,GTX Plus Basic,2/4/17,,
,HZIU2NOT,Kary Hendrixson,In Progress,GTX Plus Pro,2/4/17,,
Groovestreet,RZ2PUH86,Kary Hendrixson,Won,GTX Basic,2/4/17,5/17/17,582
Sunnamplex,GLVSDQQT,Kary Hendrixson,Won,GTX Basic,2/4/17,5/2/17,583
dambase,107BPCAS,Niesha Huffines,Lost,GTX Basic,2/4/17,5/16/17,0
Fasehatice,OCLEO3CD,Vicki Laflamme,Won,GTX Plus Pro,2/4/17,5/19/17,6079
Fasehatice,FTVCNH87,Zane Levy,Lost,GTX Plus Basic,2/4/17,5/7/17,0
Konex,GQCRMEIL,Zane Levy,Won,GTX Plus Basic,2/4/17,6/2/17,1068
Cancity,UK2JIE61,Anna Snelling,Won,MG Special,2/5/17,5/4/17,55
Sumace,YM8DBAFV,Cassey Cress,In Progress,GTX Basic,2/5/17,,
Yearin,AEDL7EC6,Cassey Cress,Lost,MG Advanced,2/5/17,5/2/17,0
Betasoloin,OV5X3O5I,Cassey Cress,Won,GTX Basic,2/5/17,3/27/17,493
Ron-tech,MMWX1A4H,Darcel Schlecht,Lost,GTX Plus Basic,2/5/17,6/20/17,0
Condax,LSVMMUJ0,Darcel Schlecht,Won,GTXPro,2/5/17,3/25/17,5559
Mathtouch,RP7KA6HS,Elease Gluck,In Progress,MG Special,2/5/17,,
Scotfind,97KFQSX1,Elease Gluck,Won,MG Advanced,2/5/17,5/9/17,3351
Isdom,08APB75Q,Lajuana Vencill,Won,GTX Basic,2/5/17,5/13/17,501
,P9PFSLS6,Maureen Marcano,In Progress,MG Special,2/5/17,,
Inity,6RL97BR9,Moses Frase,Lost,MG Special,2/5/17,5/8/17,0
Mathtouch,TPVFA5B8,Reed Clapper,Won,GTX Basic,2/5/17,5/7/17,532
Sonron,FHLOUD3V,Vicki Laflamme,Lost,MG Special,2/5/17,5/24/17,0
Green-Plus,4E01ALB0,Vicki Laflamme,Won,MG Advanced,2/5/17,5/4/17,3103
,E4THD359,Wilburn Farren,In Progress,GTX Basic,2/5/17,,
Gekko & Co,K4HVGBVH,Corliss Cosme,Won,GTX Plus Pro,2/6/17,5/22/17,5505
Isdom,6VIK2VX8,Hayden Neloms,In Progress,MG Special,2/6/17,,
Zoomit,30R81VZX,Kami Bicknell,In Progress,GTXPro,2/6/17,,
Y-corporation,XDLQ71X4,Kami Bicknell,Lost,GTX Plus Basic,2/6/17,5/22/17,0
,TH9RV79M,Maureen Marcano,In Progress,MG Special,2/6/17,,
Rangreen,L33YUX9V,Moses Frase,Won,GTX Plus Basic,2/6/17,5/15/17,1068
Cheers,QT7LRWTN,Vicki Laflamme,Won,MG Advanced,2/6/17,5/4/17,3357
Mathtouch,Q1JKHY7H,Violet Mclelland,Lost,MG Special,2/6/17,5/6/17,0
Sonron,BY0O646G,Zane Levy,Lost,GTX Basic,2/6/17,5/27/17,0
Finjob,5831YZMT,Zane Levy,Won,GTX Basic,2/6/17,6/23/17,532
,7VOW7BUJ,Cassey Cress,In Progress,GTXPro,2/7/17,,
,2J5E145N,Daniell Hammack,In Progress,GTXPro,2/7/17,,
Condax,AZUBCO7L,Daniell Hammack,Lost,MG Advanced,2/7/17,5/6/17,0
Funholding,FOWAY95L,Darcel Schlecht,Won,GTX Plus Pro,2/7/17,5/5/17,5786
,YFB7Y92U,Elease Gluck,In Progress,GTK 500,2/7/17,,
Sonron,KGZL60NI,Hayden Neloms,Lost,GTX Plus Basic,2/7/17,5/11/17,0
Streethex,SRZMNS79,Jonathan Berthelot,Won,GTX Plus Basic,2/7/17,5/19/17,1131
Y-corporation,S6645YWA,Kami Bicknell,In Progress,GTX Basic,2/7/17,,
Umbrella Corporation,B5A1BERF,Kami Bicknell,In Progress,GTXPro,2/7/17,,
Scotfind,0XMB83YO,Kami Bicknell,Won,GTX Plus Pro,2/7/17,5/15/17,5401
Konmatfix,4TEO0LE1,Marty Freudenburg,Won,GTX Plus Basic,2/7/17,3/28/17,1062
,IEAPJ5X1,Maureen Marcano,In Progress,GTX Plus Basic,2/7/17,,
Zotware,5P82H5AA,Reed Clapper,Won,MG Advanced,2/7/17,3/23/17,3695
Condax,BN8UTT8O,Rosie Papadopoulos,Lost,MG Special,2/7/17,6/4/17,0
Finhigh,V751HK8R,Versie Hillebrand,Won,MG Special,2/7/17,6/3/17,60
Groovestreet,H4TBCR80,Vicki Laflamme,Lost,GTXPro,2/7/17,5/28/17,0
Singletechno,QWL218JV,Vicki Laflamme,Won,MG Advanced,2/7/17,6/13/17,2919
,L2S4T3VA,Cassey Cress,In Progress,GTX Plus Pro,2/8/17,,
Betatech,AF8NG5JC,Cassey Cress,In Progress,MG Special,2/8/17,,
,IVJP36UT,Cassey Cress,In Progress,MG Advanced,2/8/17,,
Plussunin,12M4HB7G,Cassey Cress,Won,GTX Basic,2/8/17,5/1/17,623
Umbrella Corporation,1XVTUE5J,Corliss Cosme,Lost,MG Special,2/8/17,3/31/17,0
Scottech,3VKO28KR,Darcel Schlecht,Lost,MG Advanced,2/8/17,5/4/17,0
Genco Pura Olive Oil Company,9A9E1KPG,Elease Gluck,In Progress,GTX Basic,2/8/17,,
Scotfind,5IES0B4B,James Ascencio,Won,MG Special,2/8/17,5/4/17,49
Stanredtax,HUFYU0AT,Jonathan Berthelot,Lost,GTX Basic,2/8/17,5/24/17,0
Codehow,GMI6XZ4O,Jonathan Berthelot,Won,GTX Basic,2/8/17,5/4/17,612
,TF19VML9,Kami Bicknell,In Progress,GTX Plus Basic,2/8/17,,
Hottechi,YOQCQ4UO,Kami Bicknell,Won,GTX Basic,2/8/17,3/18/17,534
Condax,KOZTDBJ5,Kami Bicknell,Won,GTX Plus Basic,2/8/17,6/7/17,1103
,ZHXIDZNI,Kary Hendrixson,In Progress,GTXPro,2/8/17,,
Conecom,8NMPO9K3,Lajuana Vencill,Won,GTX Basic,2/8/17,5/10/17,582
Condax,PU7GV4MK,Marty Freudenburg,Lost,MG Advanced,2/8/17,5/13/17,0
Cancity,RCQDGE4W,Marty Freudenburg,Won,GTX Plus Pro,2/8/17,5/4/17,6292
Funholding,ZT832XIR,Niesha Huffines,Lost,MG Special,2/8/17,6/25/17,0
Groovestreet,I995O4XJ,Rosalina Dieter,Won,MG Special,2/8/17,5/24/17,63
Globex Corporation,EOXZGSX9,Versie Hillebrand,Won,MG Advanced,2/8/17,5/13/17,3522
Konex,PW5OGY78,Vicki Laflamme,Lost,MG Special,2/8/17,5/29/17,0
Plexzap,NJCSG7MX,Vicki Laflamme,Won,GTX Basic,2/8/17,5/4/17,532
Iselectrics,ZYRF768H,Violet Mclelland,Lost,MG Special,2/8/17,5/4/17,0
Kinnamplus,5Q8BQ64R,Wilburn Farren,Won,MG Advanced,2/8/17,5/22/17,3645
Y-corporation,ZNNBFAKF,Zane Levy,Lost,GTXPro,2/8/17,5/10/17,0
Gogozoom,L47EPGVT,Anna Snelling,Won,GTX Plus Pro,2/9/17,3/1/17,4760
Betasoloin,9GENDMWA,Corliss Cosme,Won,GTX Basic,2/9/17,5/25/17,603
Bioplex,DHACLHPS,Daniell Hammack,Lost,GTX Basic,2/9/17,5/22/17,0
Yearin,GKLE0CDI,Daniell Hammack,Won,MG Advanced,2/9/17,3/2/17,3249
Dontechi,E9DJS1D8,Darcel Schlecht,Lost,GTXPro,2/9/17,3/17/17,0
Statholdings,22ZJM20V,Darcel Schlecht,Lost,GTXPro,2/9/17,5/18/17,0
Zumgoity,C47Z92AG,Darcel Schlecht,Lost,GTXPro,2/9/17,5/9/17,0
Acme Corporation,XT9YNOV2,Donn Cantrell,Won,GTX Plus Pro,2/9/17,6/11/17,5724
Groovestreet,TMZQX7F8,Hayden Neloms,Lost,GTX Plus Basic,2/9/17,5/2/17,0
Plexzap,5JHSTFEZ,Hayden Neloms,Lost,GTX Plus Basic,2/9/17,5/11/17,0
Faxquote,BAOSO1I2,Kary Hendrixson,Won,GTX Basic,2/9/17,5/2/17,516
Rangreen,IZDF2RTL,Marty Freudenburg,Won,GTX Plus Basic,2/9/17,5/27/17,1050
Plexzap,F61DLVRS,Maureen Marcano,Won,GTX Plus Pro,2/9/17,5/23/17,4519
Funholding,80F0J70G,Niesha Huffines,Lost,GTX Basic,2/9/17,5/25/17,0
Dontechi,S9W53L4L,Niesha Huffines,Won,GTX Basic,2/9/17,6/5/17,672
Mathtouch,12OQKSVK,Reed Clapper,Won,GTX Plus Basic,2/9/17,3/20/17,896
Konex,VC94R5H8,Vicki Laflamme,Won,GTX Basic,2/9/17,3/23/17,587
Sonron,XTKIX6I4,Vicki Laflamme,Won,MG Advanced,2/9/17,6/13/17,3426
Golddex,5P3NH791,Boris Faz,In Progress,MG Advanced,2/10/17,,
Ontomedia,MSE1UXKU,Cassey Cress,Won,GTXPro,2/10/17,3/20/17,5021
Rangreen,HM334UL2,Darcel Schlecht,Won,GTX Plus Basic,2/10/17,3/30/17,1126
Umbrella Corporation,L4124UJG,Donn Cantrell,Won,GTXPro,2/10/17,5/15/17,5473
Sunnamplex,DR2QE1RW,Elease Gluck,Lost,MG Special,2/10/17,5/30/17,0
Rantouch,FD8YL177,Elease Gluck,Won,MG Special,2/10/17,5/9/17,51
Scotfind,X3ZSQCH8,Kami Bicknell,In Progress,GTX Basic,2/10/17,,
Sonron,UU21EYFN,Kami Bicknell,Won,GTX Basic,2/10/17,3/6/17,563
Isdom,OBDRD0AD,Lajuana Vencill,Lost,GTX Basic,2/10/17,5/26/17,0
Opentech,NSGEM06J,Reed Clapper,Lost,GTX Basic,2/10/17,5/14/17,0
Kan-code,QSQ42Q6M,Reed Clapper,Won,MG Advanced,2/10/17,6/15/17,2928
Zathunicon,PCBA3KAV,Reed Clapper,Won,MG Advanced,2/10/17,6/5/17,3618
Inity,ZBBMGEV4,Darcel Schlecht,Won,GTX Plus Basic,2/11/17,5/16/17,1189
Donquadtech,TYSORYA9,Donn Cantrell,Lost,GTX Basic,2/11/17,5/7/17,0
Hatfan,ULVXOPG3,Elease Gluck,Won,MG Special,2/11/17,5/22/17,60
,5BXUKFPR,James Ascencio,In Progress,GTX Plus Pro,2/11/17,,
Statholdings,G0R305KO,Jonathan Berthelot,Lost,GTX Plus Basic,2/11/17,5/11/17,0
Cheers,ZDZGCWX7,Kami Bicknell,Won,GTX Basic,2/11/17,6/22/17,545
Labdrill,PQJZ5Z3R,Kami Bicknell,Won,MG Advanced,2/11/17,5/12/17,3035
,8AJG1YLJ,Kary Hendrixson,In Progress,GTX Basic,2/11/17,,
Konex,7KXTF2Q6,Kary Hendrixson,Won,GTX Basic,2/11/17,6/23/17,584
Scotfind,WZVE1NTM,Markita Hansen,Lost,MG Special,2/11/17,5/15/17,0
Cheers,M6UEZLOQ,Maureen Marcano,Won,GTX Plus Basic,2/11/17,6/23/17,1069
Xx-holding,D6T5MM04,Maureen Marcano,Won,GTX Plus Basic,2/11/17,6/22/17,1035
Golddex,5RNWV17L,Rosalina Dieter,In Progress,MG Advanced,2/11/17,,
Ganjaflex,9GCJGVY7,Rosie Papadopoulos,Lost,GTXPro,2/11/17,3/2/17,0
Scotfind,5QBQMEY5,Vicki Laflamme,Won,GTXPro,2/11/17,3/24/17,4510
Vehement Capital Partners,9JKVM4BK,Violet Mclelland,Lost,GTX Plus Basic,2/11/17,6/5/17,0
Zotware,14PBBHSE,Violet Mclelland,Won,MG Special,2/11/17,5/8/17,49
Rundofase,P1KS5YFX,Anna Snelling,Won,MG Special,2/12/17,6/7/17,59
Kan-code,7R4VL3Q8,Cassey Cress,Won,GTXPro,2/12/17,3/4/17,4705
Zumgoity,3MNZF5ZK,Cecily Lampkin,Won,GTX Plus Pro,2/12/17,6/3/17,5148
Ganjaflex,52SANIGE,Corliss Cosme,Won,GTXPro,2/12/17,5/8/17,4833
Mathtouch,73SY9EU8,Daniell Hammack,Won,GTXPro,2/12/17,5/31/17,4664
Plussunin,HVM656P3,Donn Cantrell,Won,GTX Basic,2/12/17,5/12/17,475
,LXM6CTMS,Hayden Neloms,In Progress,GTX Plus Basic,2/12/17,,
Labdrill,U2SW8DT1,Hayden Neloms,Won,MG Advanced,2/12/17,6/13/17,3807
Faxquote,VXMFL425,James Ascencio,In Progress,GTX Basic,2/12/17,,
Stanredtax,XMH4CH4Q,Jonathan Berthelot,Won,GTX Basic,2/12/17,5/21/17,518
Dalttechnology,UNLIS3RY,Kami Bicknell,Won,GTX Plus Basic,2/12/17,5/9/17,1050
Y-corporation,GVFQXZLL,Maureen Marcano,Won,GTXPro,2/12/17,5/24/17,4596
Cheers,E887HZT1,Rosalina Dieter,In Progress,MG Advanced,2/12/17,,
,CGJ7NRZH,Violet Mclelland,In Progress,MG Special,2/12/17,,
Y-corporation,NRYC7T45,Zane Levy,Won,GTX Basic,2/12/17,5/5/17,618
Singletechno,ZVR3I3F0,Zane Levy,Won,MG Advanced,2/12/17,5/2/17,3460
Ontomedia,2TKQ8B78,Daniell Hammack,Won,GTX Plus Pro,2/13/17,5/21/17,5751
Konmatfix,OZ5O64KJ,Darcel Schlecht,Won,GTX Plus Pro,2/13/17,5/28/17,5639
Bioplex,WXCW16QT,Donn Cantrell,Lost,GTX Plus Pro,2/13/17,6/2/17,0
Zencorporation,UCXCUP1U,Garret Kinder,Won,GTX Plus Pro,2/13/17,5/18/17,4766
Opentech,SWJ9OOZU,Hayden Neloms,In Progress,MG Advanced,2/13/17,,
Scotfind,9ERRIZKG,Kami Bicknell,Lost,GTX Plus Basic,2/13/17,5/9/17,0
Singletechno,CKLYIFLY,Kary Hendrixson,Won,GTX Basic,2/13/17,5/11/17,589
Finhigh,6VDLCBYU,Marty Freudenburg,Lost,GTX Plus Pro,2/13/17,5/31/17,0
Hottechi,XYBPUC2H,Moses Frase,Lost,GTX Basic,2/13/17,5/16/17,0
Faxquote,B06D1F9M,Vicki Laflamme,In Progress,GTXPro,2/13/17,,
,OZ761BUJ,Violet Mclelland,In Progress,GTX Basic,2/13/17,,
Massive Dynamic,I3MC9XZC,Violet Mclelland,Won,GTX Basic,2/13/17,5/18/17,533
Conecom,L5T2HKKO,Anna Snelling,Lost,GTX Basic,2/14/17,5/5/17,0
Domzoom,6CEEGQ8I,Anna Snelling,Won,MG Special,2/14/17,5/30/17,63
Bioplex,P2LY9NFN,Cassey Cress,Won,GTXPro,2/14/17,5/8/17,4942
dambase,94GCWI08,Darcel Schlecht,Won,GTXPro,2/14/17,6/12/17,4650
Konmatfix,GUMQTC3J,Darcel Schlecht,Won,GTXPro,2/14/17,6/16/17,4829
Betasoloin,U64RT0UF,Donn Cantrell,Won,GTX Plus Basic,2/14/17,5/29/17,987
Gekko & Co,RWGSCFHR,Donn Cantrell,Won,GTX Plus Pro,2/14/17,3/2/17,4246
Iselectrics,GEBVQH17,Donn Cantrell,Won,GTX Plus Pro,2/14/17,5/6/17,5702
Silis,3OVJXUSB,Donn Cantrell,Won,MG Advanced,2/14/17,6/14/17,2981
Hottechi,KQPY8LLI,Gladys Colclough,Lost,MG Advanced,2/14/17,5/13/17,0
Konex,DC7COE9W,Hayden Neloms,Won,MG Advanced,2/14/17,5/1/17,2873
Treequote,3LED0EK3,Jonathan Berthelot,Lost,MG Advanced,2/14/17,5/11/17,0
Vehement Capital Partners,SCS5H8V1,Markita Hansen,In Progress,GTK 500,2/14/17,,
Bioholding,81MXE1H7,Markita Hansen,In Progress,MG Advanced,2/14/17,,
The New York Inquirer,G4MKT3AE,Rosie Papadopoulos,Lost,MG Special,2/14/17,5/7/17,0
Gogozoom,GQ125FX0,Versie Hillebrand,Won,GTX Basic,2/14/17,6/3/17,528
Scottech,JO52QXJ0,Versie Hillebrand,Won,GTX Plus Basic,2/14/17,6/18/17,1199
Zoomit,PQ2VF873,Zane Levy,Lost,GTXPro,2/14/17,3/1/17,0
